year,ethnicity group,gender,age,population
1957,malays,male,0  -  4 ,21743
1957,malays,male,5  -  9 ,14451
1957,malays,male,10 - 14 ,8393
1957,malays,male,15 - 19 ,8528
1957,malays,male,20 - 24 ,10556
1957,malays,male,25 - 29 ,9552
1957,malays,male,30 - 34 ,8226
1957,malays,male,35 - 39 ,6917
1957,malays,male,40 - 44 ,4531
1957,malays,male,45 - 49 ,3449
1957,malays,male,50 - 54 ,2620
1957,malays,male,55 - 59 ,1866
1957,malays,male,60 - 64 ,1088
1957,malays,male,65 - 69 ,586
1957,malays,male,70 - 74 ,386
1957,malays,male,75 - 79 ,152
1957,malays,male,80 - 84 ,107
1957,malays,male,65 - 85,1329
1957,malays,male,70 - 85,743
1957,malays,male,75 - 85,357
1957,malays,male,80 - 84,205
1957,malays,male,85,98
1957,malays,female,0  -  4 ,21418
1957,malays,female,5  -  9 ,14684
1957,malays,female,10 - 14 ,8221
1957,malays,female,15 - 19 ,9047
1957,malays,female,20 - 24 ,9917
1957,malays,female,25 - 29 ,8145
1957,malays,female,30 - 34 ,5989
1957,malays,female,35 - 39 ,4735
1957,malays,female,40 - 44 ,3297
1957,malays,female,45 - 49 ,2779
1957,malays,female,50 - 54 ,1871
1957,malays,female,55 - 59 ,1302
1957,malays,female,60 - 64 ,931
1957,malays,female,65 - 69 ,558
1957,malays,female,70 - 74 ,406
1957,malays,female,75 - 79 ,196
1957,malays,female,80 - 84 ,163
1957,malays,female,65 - 85,1474
1957,malays,female,70 - 85,916
1957,malays,female,75 - 85,510
1957,malays,female,80 - 84,314
1957,malays,female,85,151
1957,chinese,male,0  -  4 ,102848
1957,chinese,male,5  -  9 ,88108
1957,chinese,male,10 - 14 ,57342
1957,chinese,male,15 - 19 ,55187
1957,chinese,male,20 - 24 ,42965
1957,chinese,male,25 - 29 ,37851
1957,chinese,male,30 - 34 ,29491
1957,chinese,male,35 - 39 ,27647
1957,chinese,male,40 - 44 ,29498
1957,chinese,male,45 - 49 ,27357
1957,chinese,male,50 - 54 ,22085
1957,chinese,male,55 - 59 ,15776
1957,chinese,male,60 - 64 ,9679
1957,chinese,male,65 - 69 ,5544
1957,chinese,male,70 - 74 ,2714
1957,chinese,male,75 - 79 ,1120
1957,chinese,male,80 - 84 ,345
1957,chinese,male,65 - 85,9829
1957,chinese,male,70 - 85,4285
1957,chinese,male,75 - 85,1571
1957,chinese,male,80 - 84,451
1957,chinese,male,85,106
1957,chinese,female,0  -  4 ,94910
1957,chinese,female,5  -  9 ,82066
1957,chinese,female,10 - 14 ,52361
1957,chinese,female,15 - 19 ,51969
1957,chinese,female,20 - 24 ,42948
1957,chinese,female,25 - 29 ,38760
1957,chinese,female,30 - 34 ,29853
1957,chinese,female,35 - 39 ,28270
1957,chinese,female,40 - 44 ,27779
1957,chinese,female,45 - 49 ,24531
1957,chinese,female,50 - 54 ,19532
1957,chinese,female,55 - 59 ,14733
1957,chinese,female,60 - 64 ,10782
1957,chinese,female,65 - 69 ,7720
1957,chinese,female,70 - 74 ,4700
1957,chinese,female,75 - 79 ,2520
1957,chinese,female,80 - 84 ,1053
1957,chinese,female,65 - 85,16439
1957,chinese,female,70 - 85,8719
1957,chinese,female,75 - 85,4019
1957,chinese,female,80 - 84,1499
1957,chinese,female,85,446
1957,indians,male,0  -  4 ,9601
1957,indians,male,5  -  9 ,7224
1957,indians,male,10 - 14 ,4396
1957,indians,male,15 - 19 ,5356
1957,indians,male,20 - 24 ,6343
1957,indians,male,25 - 29 ,10633
1957,indians,male,30 - 34 ,10562
1957,indians,male,35 - 39 ,10323
1957,indians,male,40 - 44 ,7770
1957,indians,male,45 - 49 ,5980
1957,indians,male,50 - 54 ,3711
1957,indians,male,55 - 59 ,2367
1957,indians,male,60 - 64 ,957
1957,indians,male,65 - 69 ,416
1957,indians,male,70 - 74 ,202
1957,indians,male,75 - 79 ,91
1957,indians,male,80 - 84 ,36
1957,indians,male,65 - 85,765
1957,indians,male,70 - 85,349
1957,indians,male,75 - 85,147
1957,indians,male,80 - 84,56
1957,indians,male,85,20
1957,indians,female,0  -  4 ,9242
1957,indians,female,5  -  9 ,7189
1957,indians,female,10 - 14 ,3347
1957,indians,female,15 - 19 ,3276
1957,indians,female,20 - 24 ,3780
1957,indians,female,25 - 29 ,3518
1957,indians,female,30 - 34 ,2374
1957,indians,female,35 - 39 ,1933
1957,indians,female,40 - 44 ,1171
1957,indians,female,45 - 49 ,837
1957,indians,female,50 - 54 ,531
1957,indians,female,55 - 59 ,394
1957,indians,female,60 - 64 ,231
1957,indians,female,65 - 69 ,135
1957,indians,female,70 - 74 ,78
1957,indians,female,75 - 79 ,20
1957,indians,female,80 - 84 ,21
1957,indians,female,65 - 85,273
1957,indians,female,70 - 85,138
1957,indians,female,75 - 85,60
1957,indians,female,80 - 84,40
1957,indians,female,85,19
1957,Other Ethnic Groups,male,0  -  4 ,2520
1957,Other Ethnic Groups,male,5  -  9 ,2247
1957,Other Ethnic Groups,male,10 - 14 ,1088
1957,Other Ethnic Groups,male,15 - 19 ,1066
1957,Other Ethnic Groups,male,20 - 24 ,1390
1957,Other Ethnic Groups,male,25 - 29 ,1740
1957,Other Ethnic Groups,male,30 - 34 ,1869
1957,Other Ethnic Groups,male,35 - 39 ,1619
1957,Other Ethnic Groups,male,40 - 44 ,1242
1957,Other Ethnic Groups,male,45 - 49 ,987
1957,Other Ethnic Groups,male,50 - 54 ,837
1957,Other Ethnic Groups,male,55 - 59 ,541
1957,Other Ethnic Groups,male,60 - 64 ,291
1957,Other Ethnic Groups,male,65 - 69 ,216
1957,Other Ethnic Groups,male,70 - 74 ,123
1957,Other Ethnic Groups,male,75 - 79 ,52
1957,Other Ethnic Groups,male,80 - 84 ,20
1957,Other Ethnic Groups,male,65 - 85,423
1957,Other Ethnic Groups,male,70 - 85,207
1957,Other Ethnic Groups,male,75 - 85,84
1957,Other Ethnic Groups,male,80 - 84,32
1957,Other Ethnic Groups,male,85,12
1957,Other Ethnic Groups,female,0  -  4 ,2445
1957,Other Ethnic Groups,female,5  -  9 ,2128
1957,Other Ethnic Groups,female,10 - 14 ,1132
1957,Other Ethnic Groups,female,15 - 19 ,1250
1957,Other Ethnic Groups,female,20 - 24 ,1367
1957,Other Ethnic Groups,female,25 - 29 ,1527
1957,Other Ethnic Groups,female,30 - 34 ,1561
1957,Other Ethnic Groups,female,35 - 39 ,1265
1957,Other Ethnic Groups,female,40 - 44 ,929
1957,Other Ethnic Groups,female,45 - 49 ,796
1957,Other Ethnic Groups,female,50 - 54 ,607
1957,Other Ethnic Groups,female,55 - 59 ,477
1957,Other Ethnic Groups,female,60 - 64 ,317
1957,Other Ethnic Groups,female,65 - 69 ,224
1957,Other Ethnic Groups,female,70 - 74 ,165
1957,Other Ethnic Groups,female,75 - 79 ,74
1957,Other Ethnic Groups,female,80 - 84 ,41
1957,Other Ethnic Groups,female,65 - 85,529
1957,Other Ethnic Groups,female,70 - 85,305
1957,Other Ethnic Groups,female,75 - 85,140
1957,Other Ethnic Groups,female,80 - 84,66
1957,Other Ethnic Groups,female,85,25
1958,malays,male,0  -  4 ,22700
1958,malays,male,5  -  9 ,15900
1958,malays,male,10 - 14 ,9900
1958,malays,male,15 - 19 ,7800
1958,malays,male,20 - 24 ,10900
1958,malays,male,25 - 29 ,9900
1958,malays,male,30 - 34 ,8700
1958,malays,male,35 - 39 ,7300
1958,malays,male,40 - 44 ,4900
1958,malays,male,45 - 49 ,3600
1958,malays,male,50 - 54 ,2700
1958,malays,male,55 - 59 ,2100
1958,malays,male,60 - 64 ,1200
1958,malays,male,65 - 69 ,700
1958,malays,male,65 - 85,1500
1958,malays,male,70 - 85,800
1958,malays,female,0  -  4 ,22400
1958,malays,female,5  -  9 ,16200
1958,malays,female,10 - 14 ,9700
1958,malays,female,15 - 19 ,8600
1958,malays,female,20 - 24 ,10500
1958,malays,female,25 - 29 ,8500
1958,malays,female,30 - 34 ,6500
1958,malays,female,35 - 39 ,5000
1958,malays,female,40 - 44 ,3600
1958,malays,female,45 - 49 ,2900
1958,malays,female,50 - 54 ,2100
1958,malays,female,55 - 59 ,1300
1958,malays,female,60 - 64 ,1100
1958,malays,female,65 - 69 ,500
1958,malays,female,65 - 85,1500
1958,malays,female,70 - 85,1000
1958,chinese,male,0  -  4 ,107600
1958,chinese,male,5  -  9 ,92400
1958,chinese,male,10 - 14 ,65500
1958,chinese,male,15 - 19 ,55600
1958,chinese,male,20 - 24 ,46200
1958,chinese,male,25 - 29 ,39200
1958,chinese,male,30 - 34 ,31600
1958,chinese,male,35 - 39 ,28100
1958,chinese,male,40 - 44 ,29200
1958,chinese,male,45 - 49 ,28700
1958,chinese,male,50 - 54 ,22800
1958,chinese,male,55 - 59 ,17000
1958,chinese,male,60 - 64 ,10500
1958,chinese,male,65 - 69 ,6400
1958,chinese,male,65 - 85,10500
1958,chinese,male,70 - 85,4100
1958,chinese,female,0  -  4 ,99900
1958,chinese,female,5  -  9 ,85800
1958,chinese,female,10 - 14 ,60400
1958,chinese,female,15 - 19 ,52000
1958,chinese,female,20 - 24 ,45700
1958,chinese,female,25 - 29 ,40100
1958,chinese,female,30 - 34 ,32200
1958,chinese,female,35 - 39 ,28800
1958,chinese,female,40 - 44 ,28200
1958,chinese,female,45 - 49 ,25400
1958,chinese,female,50 - 54 ,20900
1958,chinese,female,55 - 59 ,15800
1958,chinese,female,60 - 64 ,11300
1958,chinese,female,65 - 69 ,8500
1958,chinese,female,65 - 85,18100
1958,chinese,female,70 - 85,9600
1958,indians,male,0  -  4 ,10400
1958,indians,male,5  -  9 ,7800
1958,indians,male,10 - 14 ,5000
1958,indians,male,15 - 19 ,5300
1958,indians,male,20 - 24 ,5600
1958,indians,male,25 - 29 ,10600
1958,indians,male,30 - 34 ,10600
1958,indians,male,35 - 39 ,10600
1958,indians,male,40 - 44 ,8300
1958,indians,male,45 - 49 ,6400
1958,indians,male,50 - 54 ,3800
1958,indians,male,55 - 59 ,2800
1958,indians,male,60 - 64 ,1000
1958,indians,male,65 - 69 ,500
1958,indians,male,65 - 85,900
1958,indians,male,70 - 85,400
1958,indians,female,0  -  4 ,10600
1958,indians,female,5  -  9 ,7800
1958,indians,female,10 - 14 ,4400
1958,indians,female,15 - 19 ,3100
1958,indians,female,20 - 24 ,4000
1958,indians,female,25 - 29 ,3900
1958,indians,female,30 - 34 ,2600
1958,indians,female,35 - 39 ,2100
1958,indians,female,40 - 44 ,1400
1958,indians,female,45 - 49 ,900
1958,indians,female,50 - 54 ,600
1958,indians,female,55 - 59 ,400
1958,indians,female,60 - 64 ,200
1958,indians,female,65 - 69 ,100
1958,indians,female,65 - 85,200
1958,indians,female,70 - 85,100
1958,Other Ethnic Groups,male,0  -  4 ,2200
1958,Other Ethnic Groups,male,5  -  9 ,2000
1958,Other Ethnic Groups,male,10 - 14 ,1100
1958,Other Ethnic Groups,male,15 - 19 ,900
1958,Other Ethnic Groups,male,20 - 24 ,900
1958,Other Ethnic Groups,male,25 - 29 ,1300
1958,Other Ethnic Groups,male,30 - 34 ,1500
1958,Other Ethnic Groups,male,35 - 39 ,1200
1958,Other Ethnic Groups,male,40 - 44 ,1000
1958,Other Ethnic Groups,male,45 - 49 ,600
1958,Other Ethnic Groups,male,50 - 54 ,700
1958,Other Ethnic Groups,male,55 - 59 ,500
1958,Other Ethnic Groups,male,60 - 64 ,300
1958,Other Ethnic Groups,male,65 - 69 ,100
1958,Other Ethnic Groups,male,65 - 85,300
1958,Other Ethnic Groups,male,70 - 85,200
1958,Other Ethnic Groups,female,0  -  4 ,2000
1958,Other Ethnic Groups,female,5  -  9 ,1700
1958,Other Ethnic Groups,female,10 - 14 ,1100
1958,Other Ethnic Groups,female,15 - 19 ,1000
1958,Other Ethnic Groups,female,20 - 24 ,1100
1958,Other Ethnic Groups,female,25 - 29 ,1200
1958,Other Ethnic Groups,female,30 - 34 ,1400
1958,Other Ethnic Groups,female,35 - 39 ,1200
1958,Other Ethnic Groups,female,40 - 44 ,900
1958,Other Ethnic Groups,female,45 - 49 ,800
1958,Other Ethnic Groups,female,50 - 54 ,600
1958,Other Ethnic Groups,female,55 - 59 ,500
1958,Other Ethnic Groups,female,60 - 64 ,300
1958,Other Ethnic Groups,female,65 - 69 ,300
1958,Other Ethnic Groups,female,65 - 85,700
1958,Other Ethnic Groups,female,70 - 85,400
1959,malays,male,0  -  4 ,23600
1959,malays,male,5  -  9 ,17700
1959,malays,male,10 - 14 ,11200
1959,malays,male,15 - 19 ,7200
1959,malays,male,20 - 24 ,11300
1959,malays,male,25 - 29 ,10000
1959,malays,male,30 - 34 ,9600
1959,malays,male,35 - 39 ,7500
1959,malays,male,40 - 44 ,5600
1959,malays,male,45 - 49 ,3700
1959,malays,male,50 - 54 ,2900
1959,malays,male,55 - 59 ,2200
1959,malays,male,60 - 64 ,1300
1959,malays,male,65 - 69 ,600
1959,malays,male,65 - 85,1400
1959,malays,male,70 - 85,800
1959,malays,female,0  -  4 ,23000
1959,malays,female,5  -  9 ,17900
1959,malays,female,10 - 14 ,11100
1959,malays,female,15 - 19 ,7900
1959,malays,female,20 - 24 ,11100
1959,malays,female,25 - 29 ,8800
1959,malays,female,30 - 34 ,7300
1959,malays,female,35 - 39 ,5100
1959,malays,female,40 - 44 ,4000
1959,malays,female,45 - 49 ,2800
1959,malays,female,50 - 54 ,2400
1959,malays,female,55 - 59 ,1400
1959,malays,female,60 - 64 ,1200
1959,malays,female,65 - 69 ,500
1959,malays,female,65 - 85,1500
1959,malays,female,70 - 85,1000
1959,chinese,male,0  -  4 ,111500
1959,chinese,male,5  -  9 ,96200
1959,chinese,male,10 - 14 ,72900
1959,chinese,male,15 - 19 ,55800
1959,chinese,male,20 - 24 ,50200
1959,chinese,male,25 - 29 ,39800
1959,chinese,male,30 - 34 ,34300
1959,chinese,male,35 - 39 ,28200
1959,chinese,male,40 - 44 ,28800
1959,chinese,male,45 - 49 ,30000
1959,chinese,male,50 - 54 ,23900
1959,chinese,male,55 - 59 ,18400
1959,chinese,male,60 - 64 ,11000
1959,chinese,male,65 - 69 ,6700
1959,chinese,male,65 - 85,11600
1959,chinese,male,70 - 85,4900
1959,chinese,female,0  -  4 ,104800
1959,chinese,female,5  -  9 ,89400
1959,chinese,female,10 - 14 ,67500
1959,chinese,female,15 - 19 ,51500
1959,chinese,female,20 - 24 ,49200
1959,chinese,female,25 - 29 ,40900
1959,chinese,female,30 - 34 ,34400
1959,chinese,female,35 - 39 ,29600
1959,chinese,female,40 - 44 ,28400
1959,chinese,female,45 - 49 ,27300
1959,chinese,female,50 - 54 ,21900
1959,chinese,female,55 - 59 ,16600
1959,chinese,female,60 - 64 ,11800
1959,chinese,female,65 - 69 ,8900
1959,chinese,female,65 - 85,19000
1959,chinese,female,70 - 85,10100
1959,indians,male,0  -  4 ,10800
1959,indians,male,5  -  9 ,7900
1959,indians,male,10 - 14 ,5400
1959,indians,male,15 - 19 ,4600
1959,indians,male,20 - 24 ,5300
1959,indians,male,25 - 29 ,9300
1959,indians,male,30 - 34 ,10700
1959,indians,male,35 - 39 ,10000
1959,indians,male,40 - 44 ,8900
1959,indians,male,45 - 49 ,6200
1959,indians,male,50 - 54 ,4200
1959,indians,male,55 - 59 ,2800
1959,indians,male,60 - 64 ,1100
1959,indians,male,65 - 69 ,500
1959,indians,male,65 - 85,900
1959,indians,male,70 - 85,400
1959,indians,female,0  -  4 ,10900
1959,indians,female,5  -  9 ,8100
1959,indians,female,10 - 14 ,5100
1959,indians,female,15 - 19 ,2900
1959,indians,female,20 - 24 ,3900
1959,indians,female,25 - 29 ,3800
1959,indians,female,30 - 34 ,2900
1959,indians,female,35 - 39 ,2100
1959,indians,female,40 - 44 ,1500
1959,indians,female,45 - 49 ,900
1959,indians,female,50 - 54 ,600
1959,indians,female,55 - 59 ,400
1959,indians,female,60 - 64 ,300
1959,indians,female,65 - 69 ,200
1959,indians,female,65 - 85,300
1959,indians,female,70 - 85,100
1959,Other Ethnic Groups,male,0  -  4 ,2100
1959,Other Ethnic Groups,male,5  -  9 ,2000
1959,Other Ethnic Groups,male,10 - 14 ,1200
1959,Other Ethnic Groups,male,15 - 19 ,800
1959,Other Ethnic Groups,male,20 - 24 ,900
1959,Other Ethnic Groups,male,25 - 29 ,1300
1959,Other Ethnic Groups,male,30 - 34 ,1500
1959,Other Ethnic Groups,male,35 - 39 ,1400
1959,Other Ethnic Groups,male,40 - 44 ,1000
1959,Other Ethnic Groups,male,45 - 49 ,700
1959,Other Ethnic Groups,male,50 - 54 ,700
1959,Other Ethnic Groups,male,55 - 59 ,600
1959,Other Ethnic Groups,male,60 - 64 ,300
1959,Other Ethnic Groups,male,65 - 69 ,200
1959,Other Ethnic Groups,male,65 - 85,400
1959,Other Ethnic Groups,male,70 - 85,200
1959,Other Ethnic Groups,female,0  -  4 ,2100
1959,Other Ethnic Groups,female,5  -  9 ,1800
1959,Other Ethnic Groups,female,10 - 14 ,1300
1959,Other Ethnic Groups,female,15 - 19 ,800
1959,Other Ethnic Groups,female,20 - 24 ,1200
1959,Other Ethnic Groups,female,25 - 29 ,1200
1959,Other Ethnic Groups,female,30 - 34 ,1400
1959,Other Ethnic Groups,female,35 - 39 ,1300
1959,Other Ethnic Groups,female,40 - 44 ,900
1959,Other Ethnic Groups,female,45 - 49 ,800
1959,Other Ethnic Groups,female,50 - 54 ,700
1959,Other Ethnic Groups,female,55 - 59 ,500
1959,Other Ethnic Groups,female,60 - 64 ,300
1959,Other Ethnic Groups,female,65 - 69 ,200
1959,Other Ethnic Groups,female,65 - 85,600
1959,Other Ethnic Groups,female,70 - 85,400
1960,malays,male,0  -  4 ,24400
1960,malays,male,5  -  9 ,19300
1960,malays,male,10 - 14 ,12800
1960,malays,male,15 - 19 ,7100
1960,malays,male,20 - 24 ,11000
1960,malays,male,25 - 29 ,10300
1960,malays,male,30 - 34 ,9800
1960,malays,male,35 - 39 ,8000
1960,malays,male,40 - 44 ,6100
1960,malays,male,45 - 49 ,4100
1960,malays,male,50 - 54 ,3200
1960,malays,male,55 - 59 ,2000
1960,malays,male,60 - 64 ,1500
1960,malays,male,65 - 69 ,600
1960,malays,male,65 - 85,1400
1960,malays,male,70 - 85,800
1960,malays,female,0  -  4 ,23800
1960,malays,female,5  -  9 ,19600
1960,malays,female,10 - 14 ,12800
1960,malays,female,15 - 19 ,7300
1960,malays,female,20 - 24 ,11100
1960,malays,female,25 - 29 ,9200
1960,malays,female,30 - 34 ,7900
1960,malays,female,35 - 39 ,5500
1960,malays,female,40 - 44 ,4300
1960,malays,female,45 - 49 ,3000
1960,malays,female,50 - 54 ,2500
1960,malays,female,55 - 59 ,1300
1960,malays,female,60 - 64 ,1300
1960,malays,female,65 - 69 ,600
1960,malays,female,65 - 85,1600
1960,malays,female,70 - 85,1000
1960,chinese,male,0  -  4 ,114500
1960,chinese,male,5  -  9 ,99200
1960,chinese,male,10 - 14 ,82700
1960,chinese,male,15 - 19 ,53400
1960,chinese,male,20 - 24 ,54100
1960,chinese,male,25 - 29 ,40700
1960,chinese,male,30 - 34 ,36300
1960,chinese,male,35 - 39 ,28600
1960,chinese,male,40 - 44 ,28600
1960,chinese,male,45 - 49 ,30500
1960,chinese,male,50 - 54 ,24800
1960,chinese,male,55 - 59 ,19100
1960,chinese,male,60 - 64 ,11400
1960,chinese,male,65 - 69 ,7000
1960,chinese,male,65 - 85,12100
1960,chinese,male,70 - 85,5100
1960,chinese,female,0  -  4 ,107700
1960,chinese,female,5  -  9 ,92300
1960,chinese,female,10 - 14 ,76900
1960,chinese,female,15 - 19 ,48700
1960,chinese,female,20 - 24 ,52300
1960,chinese,female,25 - 29 ,41900
1960,chinese,female,30 - 34 ,36300
1960,chinese,female,35 - 39 ,29500
1960,chinese,female,40 - 44 ,29000
1960,chinese,female,45 - 49 ,27700
1960,chinese,female,50 - 54 ,22800
1960,chinese,female,55 - 59 ,17900
1960,chinese,female,60 - 64 ,12300
1960,chinese,female,65 - 69 ,9200
1960,chinese,female,65 - 85,20300
1960,chinese,female,70 - 85,11100
1960,indians,male,0  -  4 ,11100
1960,indians,male,5  -  9 ,8000
1960,indians,male,10 - 14 ,6000
1960,indians,male,15 - 19 ,4100
1960,indians,male,20 - 24 ,5200
1960,indians,male,25 - 29 ,8100
1960,indians,male,30 - 34 ,10500
1960,indians,male,35 - 39 ,10100
1960,indians,male,40 - 44 ,8900
1960,indians,male,45 - 49 ,6500
1960,indians,male,50 - 54 ,4400
1960,indians,male,55 - 59 ,2900
1960,indians,male,60 - 64 ,1300
1960,indians,male,65 - 69 ,600
1960,indians,male,65 - 85,900
1960,indians,male,70 - 85,300
1960,indians,female,0  -  4 ,11300
1960,indians,female,5  -  9 ,8200
1960,indians,female,10 - 14 ,6100
1960,indians,female,15 - 19 ,2600
1960,indians,female,20 - 24 ,3900
1960,indians,female,25 - 29 ,3700
1960,indians,female,30 - 34 ,3100
1960,indians,female,35 - 39 ,2100
1960,indians,female,40 - 44 ,1600
1960,indians,female,45 - 49 ,1000
1960,indians,female,50 - 54 ,600
1960,indians,female,55 - 59 ,400
1960,indians,female,60 - 64 ,300
1960,indians,female,65 - 69 ,200
1960,indians,female,65 - 85,300
1960,indians,female,70 - 85,100
1960,Other Ethnic Groups,male,0  -  4 ,2200
1960,Other Ethnic Groups,male,5  -  9 ,1900
1960,Other Ethnic Groups,male,10 - 14 ,1500
1960,Other Ethnic Groups,male,15 - 19 ,700
1960,Other Ethnic Groups,male,20 - 24 ,800
1960,Other Ethnic Groups,male,25 - 29 ,1100
1960,Other Ethnic Groups,male,30 - 34 ,1300
1960,Other Ethnic Groups,male,35 - 39 ,1300
1960,Other Ethnic Groups,male,40 - 44 ,1100
1960,Other Ethnic Groups,male,45 - 49 ,800
1960,Other Ethnic Groups,male,50 - 54 ,600
1960,Other Ethnic Groups,male,55 - 59 ,600
1960,Other Ethnic Groups,male,60 - 64 ,300
1960,Other Ethnic Groups,male,65 - 69 ,100
1960,Other Ethnic Groups,male,65 - 85,400
1960,Other Ethnic Groups,male,70 - 85,300
1960,Other Ethnic Groups,female,0  -  4 ,2000
1960,Other Ethnic Groups,female,5  -  9 ,1800
1960,Other Ethnic Groups,female,10 - 14 ,1500
1960,Other Ethnic Groups,female,15 - 19 ,800
1960,Other Ethnic Groups,female,20 - 24 ,1100
1960,Other Ethnic Groups,female,25 - 29 ,1200
1960,Other Ethnic Groups,female,30 - 34 ,1400
1960,Other Ethnic Groups,female,35 - 39 ,1300
1960,Other Ethnic Groups,female,40 - 44 ,900
1960,Other Ethnic Groups,female,45 - 49 ,800
1960,Other Ethnic Groups,female,50 - 54 ,700
1960,Other Ethnic Groups,female,55 - 59 ,500
1960,Other Ethnic Groups,female,60 - 64 ,300
1960,Other Ethnic Groups,female,65 - 69 ,100
1960,Other Ethnic Groups,female,65 - 85,500
1960,Other Ethnic Groups,female,70 - 85,400
1961,malays,male,0  -  4 ,25300
1961,malays,male,5  -  9 ,20500
1961,malays,male,10 - 14 ,14200
1961,malays,male,15 - 19 ,7300
1961,malays,male,20 - 24 ,10200
1961,malays,male,25 - 29 ,10700
1961,malays,male,30 - 34 ,10300
1961,malays,male,35 - 39 ,7900
1961,malays,male,40 - 44 ,6800
1961,malays,male,45 - 49 ,4000
1961,malays,male,50 - 54 ,3300
1961,malays,male,55 - 59 ,2100
1961,malays,male,60 - 64 ,1600
1961,malays,male,65 - 69 ,600
1961,malays,male,65 - 85,1500
1961,malays,male,70 - 85,900
1961,malays,female,0  -  4 ,24600
1961,malays,female,5  -  9 ,20900
1961,malays,female,10 - 14 ,14400
1961,malays,female,15 - 19 ,7400
1961,malays,female,20 - 24 ,10800
1961,malays,female,25 - 29 ,9900
1961,malays,female,30 - 34 ,8500
1961,malays,female,35 - 39 ,5600
1961,malays,female,40 - 44 ,4800
1961,malays,female,45 - 49 ,3000
1961,malays,female,50 - 54 ,2700
1961,malays,female,55 - 59 ,1400
1961,malays,female,60 - 64 ,1300
1961,malays,female,65 - 69 ,600
1961,malays,female,65 - 85,1500
1961,malays,female,70 - 85,900
1961,chinese,male,0  -  4 ,116400
1961,chinese,male,5  -  9 ,101900
1961,chinese,male,10 - 14 ,89400
1961,chinese,male,15 - 19 ,53300
1961,chinese,male,20 - 24 ,56600
1961,chinese,male,25 - 29 ,42800
1961,chinese,male,30 - 34 ,38100
1961,chinese,male,35 - 39 ,28900
1961,chinese,male,40 - 44 ,28900
1961,chinese,male,45 - 49 ,30300
1961,chinese,male,50 - 54 ,25600
1961,chinese,male,55 - 59 ,19700
1961,chinese,male,60 - 64 ,13200
1961,chinese,male,65 - 69 ,7200
1961,chinese,male,65 - 85,12500
1961,chinese,male,70 - 85,5300
1961,chinese,female,0  -  4 ,110300
1961,chinese,female,5  -  9 ,95000
1961,chinese,female,10 - 14 ,82900
1961,chinese,female,15 - 19 ,49100
1961,chinese,female,20 - 24 ,54200
1961,chinese,female,25 - 29 ,43300
1961,chinese,female,30 - 34 ,38900
1961,chinese,female,35 - 39 ,29300
1961,chinese,female,40 - 44 ,29300
1961,chinese,female,45 - 49 ,28000
1961,chinese,female,50 - 54 ,24200
1961,chinese,female,55 - 59 ,18500
1961,chinese,female,60 - 64 ,13400
1961,chinese,female,65 - 69 ,9500
1961,chinese,female,65 - 85,21000
1961,chinese,female,70 - 85,11500
1961,indians,male,0  -  4 ,11400
1961,indians,male,5  -  9 ,8400
1961,indians,male,10 - 14 ,6500
1961,indians,male,15 - 19 ,3800
1961,indians,male,20 - 24 ,5200
1961,indians,male,25 - 29 ,7000
1961,indians,male,30 - 34 ,10700
1961,indians,male,35 - 39 ,9900
1961,indians,male,40 - 44 ,9500
1961,indians,male,45 - 49 ,6400
1961,indians,male,50 - 54 ,4700
1961,indians,male,55 - 59 ,2800
1961,indians,male,60 - 64 ,1600
1961,indians,male,65 - 69 ,500
1961,indians,male,65 - 85,900
1961,indians,male,70 - 85,400
1961,indians,female,0  -  4 ,11700
1961,indians,female,5  -  9 ,8500
1961,indians,female,10 - 14 ,6600
1961,indians,female,15 - 19 ,2700
1961,indians,female,20 - 24 ,3700
1961,indians,female,25 - 29 ,3700
1961,indians,female,30 - 34 ,3400
1961,indians,female,35 - 39 ,2100
1961,indians,female,40 - 44 ,1800
1961,indians,female,45 - 49 ,1000
1961,indians,female,50 - 54 ,700
1961,indians,female,55 - 59 ,400
1961,indians,female,60 - 64 ,300
1961,indians,female,65 - 69 ,200
1961,indians,female,65 - 85,300
1961,indians,female,70 - 85,100
1961,Other Ethnic Groups,male,0  -  4 ,2100
1961,Other Ethnic Groups,male,5  -  9 ,1900
1961,Other Ethnic Groups,male,10 - 14 ,1700
1961,Other Ethnic Groups,male,15 - 19 ,600
1961,Other Ethnic Groups,male,20 - 24 ,800
1961,Other Ethnic Groups,male,25 - 29 ,1000
1961,Other Ethnic Groups,male,30 - 34 ,1100
1961,Other Ethnic Groups,male,35 - 39 ,1200
1961,Other Ethnic Groups,male,40 - 44 ,1000
1961,Other Ethnic Groups,male,45 - 49 ,800
1961,Other Ethnic Groups,male,50 - 54 ,700
1961,Other Ethnic Groups,male,55 - 59 ,600
1961,Other Ethnic Groups,male,60 - 64 ,400
1961,Other Ethnic Groups,male,65 - 69 ,200
1961,Other Ethnic Groups,male,65 - 85,500
1961,Other Ethnic Groups,male,70 - 85,300
1961,Other Ethnic Groups,female,0  -  4 ,1900
1961,Other Ethnic Groups,female,5  -  9 ,1800
1961,Other Ethnic Groups,female,10 - 14 ,1700
1961,Other Ethnic Groups,female,15 - 19 ,700
1961,Other Ethnic Groups,female,20 - 24 ,1000
1961,Other Ethnic Groups,female,25 - 29 ,1200
1961,Other Ethnic Groups,female,30 - 34 ,1300
1961,Other Ethnic Groups,female,35 - 39 ,1300
