Column,year,ethnicity group,gender,age,population
0,1957,Total Residents,both combined,0  -  4 ,264727
1,1957,Total Residents,both combined,5  -  9 ,218097
2,1957,Total Residents,both combined,10 - 14 ,136280
3,1957,Total Residents,both combined,15 - 19 ,135679
4,1957,Total Residents,both combined,20 - 24 ,119266
5,1957,Total Residents,both combined,25 - 29 ,111726
6,1957,Total Residents,both combined,30 - 34 ,89925
7,1957,Total Residents,both combined,35 - 39 ,82709
8,1957,Total Residents,both combined,40 - 44 ,76217
9,1957,Total Residents,both combined,45 - 49 ,66716
10,1957,Total Residents,both combined,50 - 54 ,51794
11,1957,Total Residents,both combined,55 - 59 ,37456
12,1957,Total Residents,both combined,60 - 64 ,24276
13,1957,Total Residents,both combined,65 - 69 ,15399
14,1957,Total Residents,both combined,70 - 74 ,8774
15,1957,Total Residents,both combined,75 - 79 ,4225
16,1957,Total Residents,both combined,80 - 84 ,1786
17,1957,Total Residents,both combined,65 - 85,31061
18,1957,Total Residents,both combined,70 - 85,15662
19,1957,Total Residents,both combined,75 - 85,6888
20,1957,Total Residents,both combined,80 - 84,2663
21,1957,Total Residents,both combined,85,877
22,1957,Total Residents,male,0  -  4 ,136712
23,1957,Total Residents,male,5  -  9 ,112030
24,1957,Total Residents,male,10 - 14 ,71219
25,1957,Total Residents,male,15 - 19 ,70137
26,1957,Total Residents,male,20 - 24 ,61254
27,1957,Total Residents,male,25 - 29 ,59776
28,1957,Total Residents,male,30 - 34 ,50148
29,1957,Total Residents,male,35 - 39 ,46506
30,1957,Total Residents,male,40 - 44 ,43041
31,1957,Total Residents,male,45 - 49 ,37773
32,1957,Total Residents,male,50 - 54 ,29253
33,1957,Total Residents,male,55 - 59 ,20550
34,1957,Total Residents,male,60 - 64 ,12015
35,1957,Total Residents,male,65 - 69 ,6762
36,1957,Total Residents,male,70 - 74 ,3425
37,1957,Total Residents,male,75 - 79 ,1415
38,1957,Total Residents,male,80 - 84 ,508
39,1957,Total Residents,male,65 - 85,12346
40,1957,Total Residents,male,70 - 85,5584
41,1957,Total Residents,male,75 - 85,2159
42,1957,Total Residents,male,80 - 84,744
43,1957,Total Residents,male,85,236
44,1957,Total Residents,female,0  -  4 ,128015
45,1957,Total Residents,female,5  -  9 ,106067
46,1957,Total Residents,female,10 - 14 ,65061
47,1957,Total Residents,female,15 - 19 ,65542
48,1957,Total Residents,female,20 - 24 ,58012
49,1957,Total Residents,female,25 - 29 ,51950
50,1957,Total Residents,female,30 - 34 ,39777
51,1957,Total Residents,female,35 - 39 ,36203
52,1957,Total Residents,female,40 - 44 ,33176
53,1957,Total Residents,female,45 - 49 ,28943
54,1957,Total Residents,female,50 - 54 ,22541
55,1957,Total Residents,female,55 - 59 ,16906
56,1957,Total Residents,female,60 - 64 ,12261
57,1957,Total Residents,female,65 - 69 ,8637
58,1957,Total Residents,female,70 - 74 ,5349
59,1957,Total Residents,female,75 - 79 ,2810
60,1957,Total Residents,female,80 - 84 ,1278
61,1957,Total Residents,female,65 - 85,18715
62,1957,Total Residents,female,70 - 85,10078
63,1957,Total Residents,female,75 - 85,4729
64,1957,Total Residents,female,80 - 84,1919
65,1957,Total Residents,female,85,641
66,1957,malays,both combined,0  -  4 ,43161
67,1957,malays,both combined,5  -  9 ,29135
68,1957,malays,both combined,10 - 14 ,16614
69,1957,malays,both combined,15 - 19 ,17575
70,1957,malays,both combined,20 - 24 ,20473
71,1957,malays,both combined,25 - 29 ,17697
72,1957,malays,both combined,30 - 34 ,14215
73,1957,malays,both combined,35 - 39 ,11652
74,1957,malays,both combined,40 - 44 ,7828
75,1957,malays,both combined,45 - 49 ,6228
76,1957,malays,both combined,50 - 54 ,4491
77,1957,malays,both combined,55 - 59 ,3168
78,1957,malays,both combined,60 - 64 ,2019
79,1957,malays,both combined,65 - 69 ,1144
80,1957,malays,both combined,70 - 74 ,792
81,1957,malays,both combined,75 - 79 ,348
82,1957,malays,both combined,80 - 84 ,270
83,1957,malays,both combined,65 - 85,2803
84,1957,malays,both combined,70 - 85,1659
85,1957,malays,both combined,75 - 85,867
86,1957,malays,both combined,80 - 84,519
87,1957,malays,both combined,85,249
88,1957,malays,male,0  -  4 ,21743
89,1957,malays,male,5  -  9 ,14451
90,1957,malays,male,10 - 14 ,8393
91,1957,malays,male,15 - 19 ,8528
92,1957,malays,male,20 - 24 ,10556
93,1957,malays,male,25 - 29 ,9552
94,1957,malays,male,30 - 34 ,8226
95,1957,malays,male,35 - 39 ,6917
96,1957,malays,male,40 - 44 ,4531
97,1957,malays,male,45 - 49 ,3449
98,1957,malays,male,50 - 54 ,2620
99,1957,malays,male,55 - 59 ,1866
100,1957,malays,male,60 - 64 ,1088
101,1957,malays,male,65 - 69 ,586
102,1957,malays,male,70 - 74 ,386
103,1957,malays,male,75 - 79 ,152
104,1957,malays,male,80 - 84 ,107
105,1957,malays,male,65 - 85,1329
106,1957,malays,male,70 - 85,743
107,1957,malays,male,75 - 85,357
108,1957,malays,male,80 - 84,205
109,1957,malays,male,85,98
110,1957,malays,female,0  -  4 ,21418
111,1957,malays,female,5  -  9 ,14684
112,1957,malays,female,10 - 14 ,8221
113,1957,malays,female,15 - 19 ,9047
114,1957,malays,female,20 - 24 ,9917
115,1957,malays,female,25 - 29 ,8145
116,1957,malays,female,30 - 34 ,5989
117,1957,malays,female,35 - 39 ,4735
118,1957,malays,female,40 - 44 ,3297
119,1957,malays,female,45 - 49 ,2779
120,1957,malays,female,50 - 54 ,1871
121,1957,malays,female,55 - 59 ,1302
122,1957,malays,female,60 - 64 ,931
123,1957,malays,female,65 - 69 ,558
124,1957,malays,female,70 - 74 ,406
125,1957,malays,female,75 - 79 ,196
126,1957,malays,female,80 - 84 ,163
127,1957,malays,female,65 - 85,1474
128,1957,malays,female,70 - 85,916
129,1957,malays,female,75 - 85,510
130,1957,malays,female,80 - 84,314
131,1957,malays,female,85,151
132,1957,chinese,both combined,0  -  4 ,197758
133,1957,chinese,both combined,5  -  9 ,170174
134,1957,chinese,both combined,10 - 14 ,109703
135,1957,chinese,both combined,15 - 19 ,107156
136,1957,chinese,both combined,20 - 24 ,85913
137,1957,chinese,both combined,25 - 29 ,76611
138,1957,chinese,both combined,30 - 34 ,59344
139,1957,chinese,both combined,35 - 39 ,55917
140,1957,chinese,both combined,40 - 44 ,57277
141,1957,chinese,both combined,45 - 49 ,51888
142,1957,chinese,both combined,50 - 54 ,41617
143,1957,chinese,both combined,55 - 59 ,30509
144,1957,chinese,both combined,60 - 64 ,20461
145,1957,chinese,both combined,65 - 69 ,13264
146,1957,chinese,both combined,70 - 74 ,7414
147,1957,chinese,both combined,75 - 79 ,3640
148,1957,chinese,both combined,80 - 84 ,1398
149,1957,chinese,both combined,65 - 85,26268
150,1957,chinese,both combined,70 - 85,13004
151,1957,chinese,both combined,75 - 85,5590
152,1957,chinese,both combined,80 - 84,1950
153,1957,chinese,both combined,85,552
154,1957,chinese,male,0  -  4 ,102848
155,1957,chinese,male,5  -  9 ,88108
156,1957,chinese,male,10 - 14 ,57342
157,1957,chinese,male,15 - 19 ,55187
158,1957,chinese,male,20 - 24 ,42965
159,1957,chinese,male,25 - 29 ,37851
160,1957,chinese,male,30 - 34 ,29491
161,1957,chinese,male,35 - 39 ,27647
162,1957,chinese,male,40 - 44 ,29498
163,1957,chinese,male,45 - 49 ,27357
164,1957,chinese,male,50 - 54 ,22085
165,1957,chinese,male,55 - 59 ,15776
166,1957,chinese,male,60 - 64 ,9679
167,1957,chinese,male,65 - 69 ,5544
168,1957,chinese,male,70 - 74 ,2714
169,1957,chinese,male,75 - 79 ,1120
170,1957,chinese,male,80 - 84 ,345
171,1957,chinese,male,65 - 85,9829
172,1957,chinese,male,70 - 85,4285
173,1957,chinese,male,75 - 85,1571
174,1957,chinese,male,80 - 84,451
175,1957,chinese,male,85,106
176,1957,chinese,female,0  -  4 ,94910
177,1957,chinese,female,5  -  9 ,82066
178,1957,chinese,female,10 - 14 ,52361
179,1957,chinese,female,15 - 19 ,51969
180,1957,chinese,female,20 - 24 ,42948
181,1957,chinese,female,25 - 29 ,38760
182,1957,chinese,female,30 - 34 ,29853
183,1957,chinese,female,35 - 39 ,28270
184,1957,chinese,female,40 - 44 ,27779
185,1957,chinese,female,45 - 49 ,24531
186,1957,chinese,female,50 - 54 ,19532
187,1957,chinese,female,55 - 59 ,14733
188,1957,chinese,female,60 - 64 ,10782
189,1957,chinese,female,65 - 69 ,7720
190,1957,chinese,female,70 - 74 ,4700
191,1957,chinese,female,75 - 79 ,2520
192,1957,chinese,female,80 - 84 ,1053
193,1957,chinese,female,65 - 85,16439
194,1957,chinese,female,70 - 85,8719
195,1957,chinese,female,75 - 85,4019
196,1957,chinese,female,80 - 84,1499
197,1957,chinese,female,85,446
198,1957,indians,both combined,0  -  4 ,18843
199,1957,indians,both combined,5  -  9 ,14413
200,1957,indians,both combined,10 - 14 ,7743
201,1957,indians,both combined,15 - 19 ,8632
202,1957,indians,both combined,20 - 24 ,10123
203,1957,indians,both combined,25 - 29 ,14151
204,1957,indians,both combined,30 - 34 ,12936
205,1957,indians,both combined,35 - 39 ,12256
206,1957,indians,both combined,40 - 44 ,8941
207,1957,indians,both combined,45 - 49 ,6817
208,1957,indians,both combined,50 - 54 ,4242
209,1957,indians,both combined,55 - 59 ,2761
210,1957,indians,both combined,60 - 64 ,1188
211,1957,indians,both combined,65 - 69 ,551
212,1957,indians,both combined,70 - 74 ,280
213,1957,indians,both combined,75 - 79 ,111
214,1957,indians,both combined,80 - 84 ,57
215,1957,indians,both combined,65 - 85,1038
216,1957,indians,both combined,70 - 85,487
217,1957,indians,both combined,75 - 85,207
218,1957,indians,both combined,80 - 84,96
219,1957,indians,both combined,85,39
220,1957,indians,male,0  -  4 ,9601
221,1957,indians,male,5  -  9 ,7224
222,1957,indians,male,10 - 14 ,4396
223,1957,indians,male,15 - 19 ,5356
224,1957,indians,male,20 - 24 ,6343
225,1957,indians,male,25 - 29 ,10633
226,1957,indians,male,30 - 34 ,10562
227,1957,indians,male,35 - 39 ,10323
228,1957,indians,male,40 - 44 ,7770
229,1957,indians,male,45 - 49 ,5980
230,1957,indians,male,50 - 54 ,3711
231,1957,indians,male,55 - 59 ,2367
232,1957,indians,male,60 - 64 ,957
233,1957,indians,male,65 - 69 ,416
234,1957,indians,male,70 - 74 ,202
235,1957,indians,male,75 - 79 ,91
236,1957,indians,male,80 - 84 ,36
237,1957,indians,male,65 - 85,765
238,1957,indians,male,70 - 85,349
239,1957,indians,male,75 - 85,147
240,1957,indians,male,80 - 84,56
241,1957,indians,male,85,20
242,1957,indians,female,0  -  4 ,9242
243,1957,indians,female,5  -  9 ,7189
244,1957,indians,female,10 - 14 ,3347
245,1957,indians,female,15 - 19 ,3276
246,1957,indians,female,20 - 24 ,3780
247,1957,indians,female,25 - 29 ,3518
248,1957,indians,female,30 - 34 ,2374
249,1957,indians,female,35 - 39 ,1933
250,1957,indians,female,40 - 44 ,1171
251,1957,indians,female,45 - 49 ,837
252,1957,indians,female,50 - 54 ,531
253,1957,indians,female,55 - 59 ,394
254,1957,indians,female,60 - 64 ,231
255,1957,indians,female,65 - 69 ,135
256,1957,indians,female,70 - 74 ,78
257,1957,indians,female,75 - 79 ,20
258,1957,indians,female,80 - 84 ,21
259,1957,indians,female,65 - 85,273
260,1957,indians,female,70 - 85,138
261,1957,indians,female,75 - 85,60
262,1957,indians,female,80 - 84,40
263,1957,indians,female,85,19
264,1957,Other Ethnic Groups,both combined,0  -  4 ,4965
265,1957,Other Ethnic Groups,both combined,5  -  9 ,4375
266,1957,Other Ethnic Groups,both combined,10 - 14 ,2220
267,1957,Other Ethnic Groups,both combined,15 - 19 ,2316
268,1957,Other Ethnic Groups,both combined,20 - 24 ,2757
269,1957,Other Ethnic Groups,both combined,25 - 29 ,3267
270,1957,Other Ethnic Groups,both combined,30 - 34 ,3430
271,1957,Other Ethnic Groups,both combined,35 - 39 ,2884
272,1957,Other Ethnic Groups,both combined,40 - 44 ,2171
273,1957,Other Ethnic Groups,both combined,45 - 49 ,1783
274,1957,Other Ethnic Groups,both combined,50 - 54 ,1444
275,1957,Other Ethnic Groups,both combined,55 - 59 ,1018
276,1957,Other Ethnic Groups,both combined,60 - 64 ,608
277,1957,Other Ethnic Groups,both combined,65 - 69 ,440
278,1957,Other Ethnic Groups,both combined,70 - 74 ,288
279,1957,Other Ethnic Groups,both combined,75 - 79 ,126
280,1957,Other Ethnic Groups,both combined,80 - 84 ,61
281,1957,Other Ethnic Groups,both combined,65 - 85,952
282,1957,Other Ethnic Groups,both combined,70 - 85,512
283,1957,Other Ethnic Groups,both combined,75 - 85,224
284,1957,Other Ethnic Groups,both combined,80 - 84,98
285,1957,Other Ethnic Groups,both combined,85,37
286,1957,Other Ethnic Groups,male,0  -  4 ,2520
287,1957,Other Ethnic Groups,male,5  -  9 ,2247
288,1957,Other Ethnic Groups,male,10 - 14 ,1088
289,1957,Other Ethnic Groups,male,15 - 19 ,1066
290,1957,Other Ethnic Groups,male,20 - 24 ,1390
291,1957,Other Ethnic Groups,male,25 - 29 ,1740
292,1957,Other Ethnic Groups,male,30 - 34 ,1869
293,1957,Other Ethnic Groups,male,35 - 39 ,1619
294,1957,Other Ethnic Groups,male,40 - 44 ,1242
295,1957,Other Ethnic Groups,male,45 - 49 ,987
296,1957,Other Ethnic Groups,male,50 - 54 ,837
297,1957,Other Ethnic Groups,male,55 - 59 ,541
298,1957,Other Ethnic Groups,male,60 - 64 ,291
299,1957,Other Ethnic Groups,male,65 - 69 ,216
300,1957,Other Ethnic Groups,male,70 - 74 ,123
301,1957,Other Ethnic Groups,male,75 - 79 ,52
302,1957,Other Ethnic Groups,male,80 - 84 ,20
303,1957,Other Ethnic Groups,male,65 - 85,423
304,1957,Other Ethnic Groups,male,70 - 85,207
305,1957,Other Ethnic Groups,male,75 - 85,84
306,1957,Other Ethnic Groups,male,80 - 84,32
307,1957,Other Ethnic Groups,male,85,12
308,1957,Other Ethnic Groups,female,0  -  4 ,2445
309,1957,Other Ethnic Groups,female,5  -  9 ,2128
310,1957,Other Ethnic Groups,female,10 - 14 ,1132
311,1957,Other Ethnic Groups,female,15 - 19 ,1250
312,1957,Other Ethnic Groups,female,20 - 24 ,1367
313,1957,Other Ethnic Groups,female,25 - 29 ,1527
314,1957,Other Ethnic Groups,female,30 - 34 ,1561
315,1957,Other Ethnic Groups,female,35 - 39 ,1265
316,1957,Other Ethnic Groups,female,40 - 44 ,929
317,1957,Other Ethnic Groups,female,45 - 49 ,796
318,1957,Other Ethnic Groups,female,50 - 54 ,607
319,1957,Other Ethnic Groups,female,55 - 59 ,477
320,1957,Other Ethnic Groups,female,60 - 64 ,317
321,1957,Other Ethnic Groups,female,65 - 69 ,224
322,1957,Other Ethnic Groups,female,70 - 74 ,165
323,1957,Other Ethnic Groups,female,75 - 79 ,74
324,1957,Other Ethnic Groups,female,80 - 84 ,41
325,1957,Other Ethnic Groups,female,65 - 85,529
326,1957,Other Ethnic Groups,female,70 - 85,305
327,1957,Other Ethnic Groups,female,75 - 85,140
328,1957,Other Ethnic Groups,female,80 - 84,66
329,1957,Other Ethnic Groups,female,85,25
330,1958,Total Residents,both combined,0  -  4 ,277800
331,1958,Total Residents,both combined,5  -  9 ,229600
332,1958,Total Residents,both combined,10 - 14 ,157100
333,1958,Total Residents,both combined,15 - 19 ,134300
334,1958,Total Residents,both combined,20 - 24 ,124900
335,1958,Total Residents,both combined,25 - 29 ,114700
336,1958,Total Residents,both combined,30 - 34 ,95100
337,1958,Total Residents,both combined,35 - 39 ,84300
338,1958,Total Residents,both combined,40 - 44 ,77500
339,1958,Total Residents,both combined,45 - 49 ,69300
340,1958,Total Residents,both combined,50 - 54 ,54200
341,1958,Total Residents,both combined,55 - 59 ,40400
342,1958,Total Residents,both combined,60 - 64 ,25900
343,1958,Total Residents,both combined,65 - 69 ,17100
344,1958,Total Residents,both combined,70 - 74 ,
345,1958,Total Residents,both combined,75 - 79 ,
346,1958,Total Residents,both combined,80 - 84 ,
347,1958,Total Residents,both combined,65 - 85,33700
348,1958,Total Residents,both combined,70 - 85,16600
349,1958,Total Residents,both combined,75 - 85,
350,1958,Total Residents,both combined,80 - 84,
351,1958,Total Residents,both combined,85,
352,1958,Total Residents,male,0  -  4 ,142900
353,1958,Total Residents,male,5  -  9 ,118100
354,1958,Total Residents,male,10 - 14 ,81500
355,1958,Total Residents,male,15 - 19 ,69600
356,1958,Total Residents,male,20 - 24 ,63600
357,1958,Total Residents,male,25 - 29 ,61000
358,1958,Total Residents,male,30 - 34 ,52400
359,1958,Total Residents,male,35 - 39 ,47200
360,1958,Total Residents,male,40 - 44 ,43400
361,1958,Total Residents,male,45 - 49 ,39300
362,1958,Total Residents,male,50 - 54 ,30000
363,1958,Total Residents,male,55 - 59 ,22400
364,1958,Total Residents,male,60 - 64 ,13000
365,1958,Total Residents,male,65 - 69 ,7700
366,1958,Total Residents,male,70 - 74 ,
367,1958,Total Residents,male,75 - 79 ,
368,1958,Total Residents,male,80 - 84 ,
369,1958,Total Residents,male,65 - 85,13200
370,1958,Total Residents,male,70 - 85,5500
371,1958,Total Residents,male,75 - 85,
372,1958,Total Residents,male,80 - 84,
373,1958,Total Residents,male,85,
374,1958,Total Residents,female,0  -  4 ,134900
375,1958,Total Residents,female,5  -  9 ,111500
376,1958,Total Residents,female,10 - 14 ,75600
377,1958,Total Residents,female,15 - 19 ,64700
378,1958,Total Residents,female,20 - 24 ,61300
379,1958,Total Residents,female,25 - 29 ,53700
380,1958,Total Residents,female,30 - 34 ,42700
381,1958,Total Residents,female,35 - 39 ,37100
382,1958,Total Residents,female,40 - 44 ,34100
383,1958,Total Residents,female,45 - 49 ,30000
384,1958,Total Residents,female,50 - 54 ,24200
385,1958,Total Residents,female,55 - 59 ,18000
386,1958,Total Residents,female,60 - 64 ,12900
387,1958,Total Residents,female,65 - 69 ,9400
388,1958,Total Residents,female,70 - 74 ,
389,1958,Total Residents,female,75 - 79 ,
390,1958,Total Residents,female,80 - 84 ,
391,1958,Total Residents,female,65 - 85,20500
392,1958,Total Residents,female,70 - 85,11100
393,1958,Total Residents,female,75 - 85,
394,1958,Total Residents,female,80 - 84,
395,1958,Total Residents,female,85,
396,1958,malays,both combined,0  -  4 ,45100
397,1958,malays,both combined,5  -  9 ,32100
398,1958,malays,both combined,10 - 14 ,19600
399,1958,malays,both combined,15 - 19 ,16400
400,1958,malays,both combined,20 - 24 ,21400
401,1958,malays,both combined,25 - 29 ,18400
402,1958,malays,both combined,30 - 34 ,15200
403,1958,malays,both combined,35 - 39 ,12300
404,1958,malays,both combined,40 - 44 ,8500
405,1958,malays,both combined,45 - 49 ,6500
406,1958,malays,both combined,50 - 54 ,4800
407,1958,malays,both combined,55 - 59 ,3400
408,1958,malays,both combined,60 - 64 ,2300
409,1958,malays,both combined,65 - 69 ,1200
410,1958,malays,both combined,70 - 74 ,
411,1958,malays,both combined,75 - 79 ,
412,1958,malays,both combined,80 - 84 ,
413,1958,malays,both combined,65 - 85,3000
414,1958,malays,both combined,70 - 85,1800
415,1958,malays,both combined,75 - 85,
416,1958,malays,both combined,80 - 84,
417,1958,malays,both combined,85,
418,1958,malays,male,0  -  4 ,22700
419,1958,malays,male,5  -  9 ,15900
420,1958,malays,male,10 - 14 ,9900
421,1958,malays,male,15 - 19 ,7800
422,1958,malays,male,20 - 24 ,10900
423,1958,malays,male,25 - 29 ,9900
424,1958,malays,male,30 - 34 ,8700
425,1958,malays,male,35 - 39 ,7300
426,1958,malays,male,40 - 44 ,4900
427,1958,malays,male,45 - 49 ,3600
428,1958,malays,male,50 - 54 ,2700
429,1958,malays,male,55 - 59 ,2100
430,1958,malays,male,60 - 64 ,1200
431,1958,malays,male,65 - 69 ,700
432,1958,malays,male,70 - 74 ,
433,1958,malays,male,75 - 79 ,
434,1958,malays,male,80 - 84 ,
435,1958,malays,male,65 - 85,1500
436,1958,malays,male,70 - 85,800
437,1958,malays,male,75 - 85,
438,1958,malays,male,80 - 84,
439,1958,malays,male,85,
440,1958,malays,female,0  -  4 ,22400
441,1958,malays,female,5  -  9 ,16200
442,1958,malays,female,10 - 14 ,9700
443,1958,malays,female,15 - 19 ,8600
444,1958,malays,female,20 - 24 ,10500
445,1958,malays,female,25 - 29 ,8500
446,1958,malays,female,30 - 34 ,6500
447,1958,malays,female,35 - 39 ,5000
448,1958,malays,female,40 - 44 ,3600
449,1958,malays,female,45 - 49 ,2900
450,1958,malays,female,50 - 54 ,2100
451,1958,malays,female,55 - 59 ,1300
452,1958,malays,female,60 - 64 ,1100
453,1958,malays,female,65 - 69 ,500
454,1958,malays,female,70 - 74 ,
455,1958,malays,female,75 - 79 ,
456,1958,malays,female,80 - 84 ,
457,1958,malays,female,65 - 85,1500
458,1958,malays,female,70 - 85,1000
459,1958,malays,female,75 - 85,
460,1958,malays,female,80 - 84,
461,1958,malays,female,85,
462,1958,chinese,both combined,0  -  4 ,207500
463,1958,chinese,both combined,5  -  9 ,178200
464,1958,chinese,both combined,10 - 14 ,125900
465,1958,chinese,both combined,15 - 19 ,107600
466,1958,chinese,both combined,20 - 24 ,91900
467,1958,chinese,both combined,25 - 29 ,79300
468,1958,chinese,both combined,30 - 34 ,63800
469,1958,chinese,both combined,35 - 39 ,56900
470,1958,chinese,both combined,40 - 44 ,57400
471,1958,chinese,both combined,45 - 49 ,54100
472,1958,chinese,both combined,50 - 54 ,43700
473,1958,chinese,both combined,55 - 59 ,32800
474,1958,chinese,both combined,60 - 64 ,21800
475,1958,chinese,both combined,65 - 69 ,14900
476,1958,chinese,both combined,70 - 74 ,
477,1958,chinese,both combined,75 - 79 ,
478,1958,chinese,both combined,80 - 84 ,
479,1958,chinese,both combined,65 - 85,28600
480,1958,chinese,both combined,70 - 85,13700
481,1958,chinese,both combined,75 - 85,
482,1958,chinese,both combined,80 - 84,
483,1958,chinese,both combined,85,
484,1958,chinese,male,0  -  4 ,107600
485,1958,chinese,male,5  -  9 ,92400
486,1958,chinese,male,10 - 14 ,65500
487,1958,chinese,male,15 - 19 ,55600
488,1958,chinese,male,20 - 24 ,46200
489,1958,chinese,male,25 - 29 ,39200
490,1958,chinese,male,30 - 34 ,31600
491,1958,chinese,male,35 - 39 ,28100
492,1958,chinese,male,40 - 44 ,29200
493,1958,chinese,male,45 - 49 ,28700
494,1958,chinese,male,50 - 54 ,22800
495,1958,chinese,male,55 - 59 ,17000
496,1958,chinese,male,60 - 64 ,10500
497,1958,chinese,male,65 - 69 ,6400
498,1958,chinese,male,70 - 74 ,
499,1958,chinese,male,75 - 79 ,
500,1958,chinese,male,80 - 84 ,
501,1958,chinese,male,65 - 85,10500
502,1958,chinese,male,70 - 85,4100
503,1958,chinese,male,75 - 85,
504,1958,chinese,male,80 - 84,
505,1958,chinese,male,85,
506,1958,chinese,female,0  -  4 ,99900
507,1958,chinese,female,5  -  9 ,85800
508,1958,chinese,female,10 - 14 ,60400
509,1958,chinese,female,15 - 19 ,52000
510,1958,chinese,female,20 - 24 ,45700
511,1958,chinese,female,25 - 29 ,40100
512,1958,chinese,female,30 - 34 ,32200
513,1958,chinese,female,35 - 39 ,28800
514,1958,chinese,female,40 - 44 ,28200
515,1958,chinese,female,45 - 49 ,25400
516,1958,chinese,female,50 - 54 ,20900
517,1958,chinese,female,55 - 59 ,15800
518,1958,chinese,female,60 - 64 ,11300
519,1958,chinese,female,65 - 69 ,8500
520,1958,chinese,female,70 - 74 ,
521,1958,chinese,female,75 - 79 ,
522,1958,chinese,female,80 - 84 ,
523,1958,chinese,female,65 - 85,18100
524,1958,chinese,female,70 - 85,9600
525,1958,chinese,female,75 - 85,
526,1958,chinese,female,80 - 84,
527,1958,chinese,female,85,
528,1958,indians,both combined,0  -  4 ,21000
529,1958,indians,both combined,5  -  9 ,15600
530,1958,indians,both combined,10 - 14 ,9400
531,1958,indians,both combined,15 - 19 ,8400
532,1958,indians,both combined,20 - 24 ,9600
533,1958,indians,both combined,25 - 29 ,14500
534,1958,indians,both combined,30 - 34 ,13200
535,1958,indians,both combined,35 - 39 ,12700
536,1958,indians,both combined,40 - 44 ,9700
537,1958,indians,both combined,45 - 49 ,7300
538,1958,indians,both combined,50 - 54 ,4400
539,1958,indians,both combined,55 - 59 ,3200
540,1958,indians,both combined,60 - 64 ,1200
541,1958,indians,both combined,65 - 69 ,600
542,1958,indians,both combined,70 - 74 ,
543,1958,indians,both combined,75 - 79 ,
544,1958,indians,both combined,80 - 84 ,
545,1958,indians,both combined,65 - 85,1100
546,1958,indians,both combined,70 - 85,500
547,1958,indians,both combined,75 - 85,
548,1958,indians,both combined,80 - 84,
549,1958,indians,both combined,85,
550,1958,indians,male,0  -  4 ,10400
551,1958,indians,male,5  -  9 ,7800
552,1958,indians,male,10 - 14 ,5000
553,1958,indians,male,15 - 19 ,5300
554,1958,indians,male,20 - 24 ,5600
555,1958,indians,male,25 - 29 ,10600
556,1958,indians,male,30 - 34 ,10600
557,1958,indians,male,35 - 39 ,10600
558,1958,indians,male,40 - 44 ,8300
559,1958,indians,male,45 - 49 ,6400
560,1958,indians,male,50 - 54 ,3800
561,1958,indians,male,55 - 59 ,2800
562,1958,indians,male,60 - 64 ,1000
563,1958,indians,male,65 - 69 ,500
564,1958,indians,male,70 - 74 ,
565,1958,indians,male,75 - 79 ,
566,1958,indians,male,80 - 84 ,
567,1958,indians,male,65 - 85,900
568,1958,indians,male,70 - 85,400
569,1958,indians,male,75 - 85,
570,1958,indians,male,80 - 84,
571,1958,indians,male,85,
572,1958,indians,female,0  -  4 ,10600
573,1958,indians,female,5  -  9 ,7800
574,1958,indians,female,10 - 14 ,4400
575,1958,indians,female,15 - 19 ,3100
576,1958,indians,female,20 - 24 ,4000
577,1958,indians,female,25 - 29 ,3900
578,1958,indians,female,30 - 34 ,2600
579,1958,indians,female,35 - 39 ,2100
580,1958,indians,female,40 - 44 ,1400
581,1958,indians,female,45 - 49 ,900
582,1958,indians,female,50 - 54 ,600
583,1958,indians,female,55 - 59 ,400
584,1958,indians,female,60 - 64 ,200
585,1958,indians,female,65 - 69 ,100
586,1958,indians,female,70 - 74 ,
587,1958,indians,female,75 - 79 ,
588,1958,indians,female,80 - 84 ,
589,1958,indians,female,65 - 85,200
590,1958,indians,female,70 - 85,100
591,1958,indians,female,75 - 85,
592,1958,indians,female,80 - 84,
593,1958,indians,female,85,
594,1958,Other Ethnic Groups,both combined,0  -  4 ,4200
595,1958,Other Ethnic Groups,both combined,5  -  9 ,3700
596,1958,Other Ethnic Groups,both combined,10 - 14 ,2200
597,1958,Other Ethnic Groups,both combined,15 - 19 ,1900
598,1958,Other Ethnic Groups,both combined,20 - 24 ,2000
599,1958,Other Ethnic Groups,both combined,25 - 29 ,2500
600,1958,Other Ethnic Groups,both combined,30 - 34 ,2900
601,1958,Other Ethnic Groups,both combined,35 - 39 ,2400
602,1958,Other Ethnic Groups,both combined,40 - 44 ,1900
603,1958,Other Ethnic Groups,both combined,45 - 49 ,1400
604,1958,Other Ethnic Groups,both combined,50 - 54 ,1300
605,1958,Other Ethnic Groups,both combined,55 - 59 ,1000
606,1958,Other Ethnic Groups,both combined,60 - 64 ,600
607,1958,Other Ethnic Groups,both combined,65 - 69 ,400
608,1958,Other Ethnic Groups,both combined,70 - 74 ,
609,1958,Other Ethnic Groups,both combined,75 - 79 ,
610,1958,Other Ethnic Groups,both combined,80 - 84 ,
611,1958,Other Ethnic Groups,both combined,65 - 85,1000
612,1958,Other Ethnic Groups,both combined,70 - 85,600
613,1958,Other Ethnic Groups,both combined,75 - 85,
614,1958,Other Ethnic Groups,both combined,80 - 84,
615,1958,Other Ethnic Groups,both combined,85,
616,1958,Other Ethnic Groups,male,0  -  4 ,2200
